  lc        k         e         sdir      sby       sbz       ux        uy        uz        Di        Do        t       
  -         -         -         MPa       MPa       MPa       -         -         -         mm        mm        mm      
        3.        6.      131.  0.56E+01  0.42E+01  0.73E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        3.        6.      216.  0.57E+00  0.66E-01  0.11E+02  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        3.        6.      217.  0.57E+00  0.68E-01  0.11E+02  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        3.        7.       80.  0.12E+01  0.39E+00  0.24E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        3.        7.      235.  0.41E-02  0.45E-02  0.15E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        3.        7.      288.  0.53E-01  0.27E-02  0.24E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        3.        8.      130.  0.12E+01  0.23E+01  0.83E+00  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        3.        8.      252.  0.41E-02  0.22E-02  0.15E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        3.        8.      253.  0.53E-01  0.48E-02  0.24E+01  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        3.        9.      180.  0.17E+01  0.37E+01  0.65E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        3.        9.      270.  0.53E-01  0.82E-02  0.37E+01  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        3.        9.      271.  0.53E-01  0.60E-02  0.37E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        4.        1.        1.  0.67E+01  0.16E-03  0.27E-03  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        4.        2.       11.  0.67E+01  0.71E-03  0.27E-03  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        4.        3.       21.  0.83E+01  0.23E+00  0.40E+00  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        4.        4.       10.  0.60E+01  0.30E-01  0.51E-01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        4.        4.       31.  0.51E+01  0.11E+01  0.42E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        4.        4.      181.  0.30E+00  0.30E-01  0.26E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        4.        4.      234.  0.55E+00  0.38E-01  0.48E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        4.        5.       20.  0.60E+01  0.13E-01  0.51E-01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        4.        5.       81.  0.51E+01  0.31E+01  0.30E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        4.        5.      198.  0.30E+00  0.32E-01  0.26E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        4.        5.      199.  0.55E+00  0.35E-01  0.48E+01  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        4.        6.       30.  0.75E+01  0.43E+01  0.75E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        4.        6.      131.  0.56E+01  0.33E+01  0.58E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        4.        6.      216.  0.55E+00  0.57E-01  0.84E+01  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        4.        6.      217.  0.55E+00  0.60E-01  0.84E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        4.        7.       80.  0.13E+01  0.11E+01  0.16E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        4.        7.      235.  0.11E-02  0.49E-02  0.13E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        4.        7.      288.  0.57E-01  0.26E-02  0.14E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        4.        8.      130.  0.13E+01  0.19E+01  0.17E+00  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        4.        8.      252.  0.11E-02  0.18E-02  0.13E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        4.        8.      253.  0.57E-01  0.54E-02  0.13E+01  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        4.        9.      180.  0.17E+01  0.33E+01  0.58E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        4.        9.      270.  0.57E-01  0.88E-02  0.32E+01  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        4.        9.      271.  0.57E-01  0.59E-02  0.32E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        5.        1.        1.  0.70E+01  0.13E-03  0.22E-03  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        5.        2.       11.  0.70E+01  0.57E-03  0.22E-03  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        5.        3.       21.  0.78E+01  0.13E+00  0.23E+00  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        5.        4.       10.  0.63E+01  0.24E-01  0.41E-01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        5.        4.       31.  0.52E+01  0.46E+00  0.25E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        5.        4.      181.  0.32E+00  0.24E-01  0.19E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        5.        4.      234.  0.49E+00  0.30E-01  0.25E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        5.        5.       20.  0.63E+01  0.11E-01  0.41E-01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        5.        5.       81.  0.52E+01  0.24E+01  0.84E+00  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        5.        5.      198.  0.32E+00  0.26E-01  0.19E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        5.        5.      199.  0.49E+00  0.28E-01  0.25E+01  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        5.        6.       30.  0.71E+01  0.25E+01  0.44E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        5.        6.      131.  0.54E+01  0.22E+01  0.39E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        5.        6.      216.  0.49E+00  0.35E-01  0.51E+01  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        5.        6.      217.  0.49E+00  0.38E-01  0.51E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        5.        7.       80.  0.13E+01  0.20E+01  0.71E+00  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        5.        7.      235.  0.71E-02  0.40E-02  0.12E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        5.        7.      288.  0.56E-01  0.23E-02  0.95E-01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        5.        8.      130.  0.13E+01  0.16E+01  0.14E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        5.        8.      252.  0.71E-02  0.16E-02  0.12E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        5.        8.      253.  0.56E-01  0.45E-02  0.74E-01  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        5.        9.      180.  0.15E+01  0.27E+01  0.47E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        5.        9.      270.  0.56E-01  0.73E-02  0.24E+01  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        5.        9.      271.  0.56E-01  0.50E-02  0.24E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        6.        1.        1.  0.72E+01  0.62E-04  0.11E-03  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        6.        2.       11.  0.72E+01  0.39E-03  0.11E-03  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        6.        3.       21.  0.74E+01  0.24E-01  0.43E-01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        6.        4.       10.  0.65E+01  0.12E-01  0.20E-01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        6.        4.       31.  0.53E+01  0.21E+01  0.74E+00  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        6.        4.      181.  0.35E+00  0.13E-01  0.12E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        6.        4.      234.  0.42E+00  0.16E-01  0.65E-01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        6.        5.       20.  0.65E+01  0.34E-02  0.21E-01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        6.        5.       81.  0.53E+01  0.17E+01  0.15E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        6.        5.      198.  0.35E+00  0.14E-01  0.12E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        6.        5.      199.  0.42E+00  0.14E-01  0.78E-01  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        6.        6.       30.  0.67E+01  0.48E+00  0.85E+00  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        6.        6.      131.  0.53E+01  0.11E+01  0.20E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        6.        6.      216.  0.42E+00  0.71E-02  0.14E+01  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        6.        6.      217.  0.42E+00  0.87E-02  0.14E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        6.        7.       80.  0.14E+01  0.29E+01  0.17E+00  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        6.        7.      235.  0.14E-01  0.36E-02  0.10E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        6.        7.      288.  0.58E-01  0.21E-02  0.12E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        6.        8.      130.  0.14E+01  0.13E+01  0.26E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        6.        8.      252.  0.14E-01  0.18E-02  0.10E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        6.        8.      253.  0.59E-01  0.37E-02  0.12E+01  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        6.        9.      180.  0.14E+01  0.21E+01  0.36E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        6.        9.      270.  0.59E-01  0.64E-02  0.17E+01  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        6.        9.      271.  0.58E-01  0.47E-02  0.17E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        7.        1.        1.  0.75E+01  0.18E-04  0.31E-04  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        7.        2.       11.  0.75E+01  0.20E-03  0.31E-04  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        7.        3.       21.  0.69E+01  0.90E-01  0.16E+00  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        7.        4.       10.  0.67E+01  0.34E-02  0.59E-02  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        7.        4.       31.  0.53E+01  0.39E+01  0.12E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        7.        4.      181.  0.38E+00  0.19E-02  0.40E+00  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        7.        4.      234.  0.33E+00  0.23E-02  0.28E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        7.        5.       20.  0.68E+01  0.67E-02  0.58E-02  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        7.        5.       81.  0.53E+01  0.93E+00  0.40E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        7.        5.      198.  0.38E+00  0.56E-03  0.41E+00  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        7.        5.      199.  0.33E+00  0.33E-02  0.28E+01  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        7.        6.       30.  0.62E+01  0.17E+01  0.29E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        7.        6.      131.  0.52E+01  0.50E-01  0.11E+00  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        7.        6.      216.  0.33E+00  0.23E-01  0.24E+01  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
